SessionName,StartTime,EndTime,Location_Lookup,Staff Lead,Type_Lookup,Roomset,A/V,F&B Needs,"PostTo
Web",Step and Repeat?,22x28 Sign?,American Flag,Soft Seating,Soft Seating Needs,Badge Scanning,Internal Notes
NACo EDGE Trivia,7/13/2025 1:30pm,7/13/2025 3:00pm,"""Ballroom A, 300 Level (Pennsylvania Convention Center)""",Beth Roberts,Workshop,RDS 100 -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (6) 8' resource tables along back/side walls of room. ,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,Need a private space. This event will likely be loud
Disaster Task Force Meeting,7/13/2025 1:30pm,7/13/2025 3:00pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""",,,U shape for 40 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (2) Comfy Chairs - (1) easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,checked,(2) Comfy Chairs,,
County Administrator Idea Exchange Day 2,7/13/2025 1:30pm,7/13/2025 3:00pm,"""111 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Achievement Award Winner Holding Room,7/13/2025 2:00pm,7/13/2025 3:15pm,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Miranda Morvay,,Existing setup ,N/A,"Cookies, Brownies, Coffee and Hot Tea",,,,,,N/A,,
General Session,7/13/2025 3:15pm,7/13/2025 5:00pm,"""Hall B, 200 Level (Pennsylvania Convention Center)""","Jack Peterson,Leah Rivera",Plenary / Conference-Wide Event,"Theater for 2200 - See Marx Diagram
GREEN ROOM: Add (2) rounds with linen and (6) chairs at each table. 
NACo STEP N REPEAT FOR GREEN ROOM.",Marx,,checked,checked,,,,,,focused on the current and future of county government; includes Achievement Awards announcements; AECF CEO/President on youth
Pennsylvania Delegate Meeting and Reception,7/13/2025 5:00pm,7/13/2025 7:00pm,"""Salon I | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
National Association of County LGBTQ Leaders & Allies Meeting,7/13/2025 5:00pm,7/13/2025 7:00pm,"""105 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,"CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
California Caucus,7/13/2025 5:15pm,7/13/2025 6:15pm,"""109 AB, 100 Level (Pennsylvania Convention Center)""",,Affiliate,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Meet the Researchers: Counties and Pew Reception,7/13/2025 5:30pm,7/13/2025 7:00pm,Art Gallery (Philadelphia Marriott Downtown),"Miranda Morvay,Nastassia Walsh",Reception,"60-75 people. 
High and low cocktail rounds 
Bar",None,Heavy canapes and beer and wine ,checked,,,,,,,"$8k total budget
Thinking about art gallery in marriott. "
"Multi-State Delegate NACo Reception (Wisconsin, Virginia, New York, Indiana, Michigan, and South Dakota Associations)",7/13/2025 5:30pm,7/13/2025 7:30pm,"""Midnight & The Wicked, 1500 Sansom Street""",,Affiliate,Affiliate,,,checked,,,,,,,
NDCO Welcome Reception ,7/13/2025 5:30pm,7/13/2025 7:30pm,"""Salon C | Liberty Ballroom, Level 3 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
NACo Board of Directors Reception,7/13/2025 6:30pm,7/13/2025 8:30pm,Offsite,Marc Chavez,Reception,,,,checked,,,,,,,
Aetna Reception,7/13/2025 6:30pm,7/13/2025 9:30pm,Offsite,,,offsite,,,checked,,,,,,,
Gore Hospitality Suite,7/13/2025 9:00pm,7/13/2025 11:00pm,"""Liberty Lanes, Marriott""",,,,,,,,,,,,,
END OF SUNDAY,,,,,,,,,,,,,,,,
NACo Annual Staff Breakfast,7/14/2025 6:00am,7/14/2025 8:30am,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
NACo Annual Staff Office,7/14/2025 7:00am,7/14/2025 5:00pm,"""304, 300 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(4) 8' tables along wall, Power strip at (2) tables, (3) chairs at two (8)' tables only.  Add in center of room either (2) rounds with chairs or one conference table - whichever will fit most appropriately.
KEY Needed (15 qty)
MASTER KEY (8 qty)",POWER DROP: (4) and (4) power strips and (1) power drop for printer. ,,,,,,,,,
NACo Center Operations,7/14/2025 7:00am,7/14/2025 5:00pm,"""303A, 300 Level (Pennsylvania Convention Center)""","Kevin Carr,Phyllis Williams",,"(1) 8' tables along wall, (2) chairs. 
KEY Needed (3 qty)","POWER DROP: (3) drops one each for a commercial grade printers/copier and (1) power drop at 8' table and (1) power strip.

",,,,,,,,,
Marx AV Storage #1,7/14/2025 7:00am,7/14/2025 7:00pm,"""100 A, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",POWER DROP: (1) at 8' table for Marx Team,,,,,,,,,
NACo Signage Storage,7/14/2025 7:00am,7/14/2025 7:00pm,"""101 , 100 Level (Pennsylvania Convention Center)""","Leah Rivera,Patrick Dougherty",,"2) 8' tables along wall, (3) chairs at two (8)' tables.  
Drop an extra 25 easels in this room.
KEY Needed (3 qty)",,,,,,,,,,
Web Cast/Film Room,7/14/2025 7:00am,7/14/2025 5:00pm,"""306, 300 Level (Pennsylvania Convention Center)""","Myava Mitchell,Charlie Ban",,"(2) 8' tables along wall with (2) chairs each.
KEY Needed (6 qty)
",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
NACo Executive Back Up Office,7/14/2025 7:00am,7/14/2025 5:00pm,"""Conference Suite III, Level 3 (Philadelphia Marriott Downtown)""",Marc Chavez,,"Existing Board Table
KEY Needed",,,,,,,,,,
NACo Corporate Partners Meeting Room,7/14/2025 7:00am,7/14/2025 5:00pm,"""104 AB, 100 Level (Pennsylvania Convention Center)""",Cara Hackett,,"Conference (12ppl) with (1) 8' table w/2 chairs along wall and (2) rounds with (6) chairs. (1) Easel
KEY Needed (3qty)",POWER DROP: (1) at 8' table and (1) power strip,,,,,,,,,
EDGE Annual Meeting Room,7/14/2025 7:00am,7/14/2025 5:00pm,"""305, 300 Level (Pennsylvania Convention Center)""",Beth Roberts,,"Conference (6ppl) with (1) 8' table w/2 chairs along wall. 
KEY Needed (5qty)",POWER DROP: (2) and (2) power strip - one at each table.,,,,,,,,,
CPI Meeting Room,7/14/2025 7:00am,7/14/2025 5:00pm,"""Room 309, Level 3 (Philadelphia Marriott Downtown)""",Christina Loukos,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
Government Affairs Meeting Room,7/14/2025 7:00am,7/14/2025 5:00pm,"""Room 310, Level 3 (Philadelphia Marriott Downtown)""",Eryn Hurley,,"Conference (12ppl) w/(12) chairs, (1) 8' table w/(2) chairs along wall. 
KEY Needed
",(1) Power Strip,,,,,,,,,
NACo Executive Office,7/14/2025 7:00am,7/14/2025 5:00pm,"""303B, 300 Level (Pennsylvania Convention Center)""",Marc Chavez,,"(2) 8' tables along wall, (3) chairs at two (8)' tables only.  Add in center of room (2) rounds with 8 chairs each 
KEY Needed (5qty)","Color Printer
POWER DROP: (2) and (2) power strips, one on each 8' table, (1) drops and (1) power strips round table, (1) power drop for printer",,,,,,,,,
Marx AV Storage #2,7/14/2025 7:00am,7/14/2025 7:00pm,"""100 B, 100 Level (Pennsylvania Convention Center)""",Leah Rivera,,"(2) 8' tables along wall, (3) chairs at two (8)' tables.  
KEY Needed (5qty)",,,,,,,,,,
NACo Registration Open,7/14/2025 8:00am,7/14/2025 5:00pm,"""Grand Hall, 200 Level (Pennsylvania Convention Center)""",Michelle Stuckey,,(10) 8' tables with (1) chair each - to be set behind Registration in storage area.,,,checked,,,,,,,
Nationwide Partners Breakfast,7/14/2025 8:00am,7/14/2025 9:15am,"""203 AB, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,Meeting,RDS 50 leave additional chairs - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) Head tables of (4ppl) - (1) Easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,"Dept Code: 30
Acct Code: F02
Project Code: 5305 
Belgian Waffles 20 qty
Omelet Action Station 20 qty",,,,,,,,
Conference Team Member Meeting Room,7/14/2025 8:00am,7/14/2025 5:00pm,"""Conference Suite II, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,"Existing
KEY Needed (3qty)",,,,,,,,,,
"Virginia, West Virginia, Maryland, Ohio and Missouri Breakfast ",7/14/2025 8:00am,7/14/2025 9:15am,"""Salon D | Grand Ballroom, Level 5 (Philadelphia Marriott Downtown)""",,Affiliate,Affiliate,,,checked,,,,,,,
Florida Delegates Caucus,7/14/2025 8:00am,7/14/2025 9:15am,"""202 AB, 200 Level (Pennsylvania Convention Center)""",,Affiliate,HS 36 - podium - 12'x8' stage (2) risers - stairs on each side of stage - (1) easel,Podium mic - (1) LCD packages - (2) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo Staff Quiet Office,7/14/2025 8:00am,7/14/2025 5:00pm,"""Room 305, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,Conference for 12ppl,(1) Power Strip,,,,,,,,,
Affiliate Exhibit Tables,7/14/2025 8:00am,7/14/2025 5:00pm,"""Foyer outside of Exhibit Hall A, 200 Level (Pennsylvania Convention Center)""",Darrin Crittington,Affiliate,"(10) qty 8' tables - (2) chairs each per Daniels diagram.
ADD: (1) 8' table and (2) chairs set in front of the columns to the left and right of the circular railing.
",None,,,,,,,,,
NACo Store,7/14/2025 8:00am,7/14/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,((10) 8' tables with (1) chair each in storage area,POWER DROP: (2) smart counters (1 each) and (1) power drop in storage area behind Store.  ,,checked,,,,,,,
NACo EDGE Solutions Center,7/14/2025 8:00am,7/14/2025 5:00pm,"""Bridge over Arch St. - WEST, 200 Level (Pennsylvania Convention Center)""",Beth Roberts,,(12) 8' tables with (2) chairs each for exhibitors. (2) 8' tables for storage area. ADD: (4) cocktails with (2) stools.,"POWER DROP: (1) EDGE booth, (1) TV monitor, (2) pieces of charging couches (1 each) and (1) PPP booth ",,checked,,,,,,,
NACo Resource Center,7/14/2025 8:00am,7/14/2025 5:00pm,"""Bridge over Arch St. - EAST, 200 Level (Pennsylvania Convention Center)""",,,(2) 8' tables with (1) chair each in storage area,"POWER DROP: (2) drops for (2) TV monitors, (2) drops at tall table and (4) for four charging chairs.",,checked,,,,,,,
Comcast Office #1,7/14/2025 8:00am,7/14/2025 5:00pm,"""300, 300 Level (Pennsylvania Convention Center)""",,,"(3) 8' tables and (6) chairs. Tables to have black velour and skirting. 
MASTER KEY Needed (3 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
Comcast Office #2,7/14/2025 8:00am,7/14/2025 5:00pm,"""301, 300 Level (Pennsylvania Convention Center)""",,,"two 6-foot tables (6’ x 18”) with 6 chairs 
	one 60” round table with 8 chairs
	1 Cocktail Adjustable table (for make-up)
	1 barstool height char (for make-up) FREEMAN ORDER
MASTER KEY Needed (6 qty) for 300,301,30",POWER DROP: (1) drops - (1) power strip on 8' table ,,,,,,,,,
Comcast Office #3,7/14/2025 8:00am,7/14/2025 5:00pm,"""302, 300 Level (Pennsylvania Convention Center)""",,,"Conference for (6) ppl with chairs. (1) 8' table along one wall with (3) chairs. 
MASTER KEY Needed (6 qty) for 300,301,302",POWER DROP: (2) drops - (1) power strip on 8' table and (1) power strip on conference table. ,,,,,,,,,
NACo Annual Business Meeting,7/14/2025 9:30am,7/14/2025 11:45am,"""Hall B, 200 Level (Pennsylvania Convention Center)""",Jack Peterson,Plenary / Conference-Wide Event,"Theater for 2200 - See Marx Diagram
GREEN ROOM: Add (2) rounds with linen and (6) chairs at each table. ",Marx,,checked,,,,,,,
NACo Annual Staff Lunch,7/14/2025 11:30am,7/14/2025 2:00pm,"""Room 302, 303, 304, Level 3 (Philadelphia Marriott Downtown)""",Leah Rivera,,RDS 80,,,,,,,,,,
Lunch on Own,7/14/2025 12:00pm,7/14/2025 1:30pm,,Leah Rivera,,,,,checked,,,,,,,"Possible SJC luncheon
DOD Listening Session lunch"
Public Health Listening Session,7/14/2025 12:00pm,7/14/2025 1:30pm,"""202 AB, 200 Level (Pennsylvania Convention Center)""",Shalini Wickramatilake,,HS 36 - podium - 12'x8' stage (2) risers - stairs on each side of stage -(1) easel,Podium mic - (1) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package," Dept Code: G01 (CPI)
Acct Code: DBF100 
Sardinia Hot Buffet 25 qty",,,checked,,,,,
South Region Caucus Meeting,7/14/2025 1:30pm,7/14/2025 2:15pm,"""201 ABC, 200 Level (Pennsylvania Convention Center)""",Marc Chavez,Meeting,Mixture of Theatre and rounds TBD (715reg) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (6) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Northeast Region Caucus Meeting,7/14/2025 1:30pm,7/14/2025 2:15pm,"""105 AB, 100 Level (Pennsylvania Convention Center)""",Marc Chavez,Meeting,"CL140 with TH for 24 (164 total) (76 reg) -18'x8' stages - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech booth with (2) chairs, (2) 8' resource tables outside of room. (1) easel outside room",Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
West Region Caucus Meeting,7/14/2025 1:30pm,7/14/2025 2:15pm,"""108 AB, 100 Level (Pennsylvania Convention Center)""",Marc Chavez,Meeting,RDS 260 TH 38 -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (2) 8' resource tables along back/side walls of room. (1) easel,"Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package
",,checked,,,checked,,,,
Central Region Caucus Meeting,7/14/2025 1:30pm,7/14/2025 2:15pm,"""204 ABC, 200 Level (Pennsylvania Convention Center)""",Marc Chavez,Meeting,RDS 250 and max out in theatre- (385 reg) 18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium -(2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,checked,,,,
Robert's Rules 101: Mastering the Basics,7/14/2025 2:30pm,7/14/2025 4:00pm,"""111 AB, 100 Level (Pennsylvania Convention Center)""",Anuja Rathi,Workshop,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Mobile Workshops,7/14/2025 2:30pm,7/14/2025 5:00pm,,,"Mobile Workshop,Workshop",offsite,,,,,,,,,,
Restoring the Grid: How to Plan for a Rapid Recovery When Disaster Strikes,7/14/2025 2:30pm,7/14/2025 5:00pm,"""103 AB, 100 Level (Pennsylvania Convention Center)""",Jennifer Kuiper,Workshop,RDS 210 TH 32 (242 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs - (4) 8' resource tables along back/side walls of room. (1) Easel outside room.,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
NACo EDGE County Fair,7/14/2025 2:30pm,7/14/2025 5:00pm,,Beth Roberts,Workshop,,,,checked,,,,,,,
Data Solutions to County Service Delivery Challenges,7/14/2025 2:30pm,7/14/2025 5:00pm,"""109 AB, 100 Level (Pennsylvania Convention Center)""",Ashleigh Holand,Workshop,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,,,,,,,,this would be a quick turn. Double check this is ok
Update on County Federal Policy Priorities,7/14/2025 2:30pm,7/14/2025 5:00pm,"""113 AB, 100 Level (Pennsylvania Convention Center)""",Mark Ritacco,Workshop,RDS 260  -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table and (2) chairs - (4) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (2) LCD packages - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
"Mobile Workshop: Riverview Wellness Village, A Model for Recovery-based Housing",7/14/2025 2:30pm,7/14/2025 5:00pm,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""","Annie Qing,Blaire Bryant,Shalini Wickramatilake",Mobile Workshop,"offsite
Need rope and stanchion for crowd control",,,checked,,,,,,,
Mobile Workshop: Masterpieces East Mural Arts Tour,7/14/2025 2:30pm,7/14/2025 4:00pm,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""",Patrick Spence,Mobile Workshop,"offsite
Need rope and stanchion for crowd control",,,checked,,,,,,,"32 attendees (2 groups)
12th and Arch Northwest Corner
Dress accordingly (comfortable shoes, umbrella if needed)
Add shop link and public tour calendar into, self-guided tour (GPS based) to session description online, a
1-mile, flat city walking tour. (no stairs, mostly accessible)


"
Mobile Workshop: Schuylkill Banks Walking Tour,7/14/2025 2:30pm,7/14/2025 5:00pm,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""",Ben Gilsdorf,Mobile Workshop,"offsite
Need rope and stanchion for crowd control",,,checked,,,,,,,"rain or shine. cancel due to thunderstorms or have in a presentation in a meeting room?
Pass out handouts a"
Mobile Workshop: Green Stormwater Infrastructure at Venice Island,7/14/2025 2:30pm,7/14/2025 5:00pm,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""",Nastassia Walsh,Mobile Workshop,"offsite
Need rope and stanchion for crowd control",,,checked,,,,,,,
Mobile Tour: Circularity in Action in Philadelphia’s Fairmount Park ,7/14/2025 2:30pm,7/14/2025 5:00pm,"""12th Street | Taxi Lane, 100 Level (Street Level) (Pennsylvania Convention Center)""","Jennifer Kuiper,Blake Gardiner",Mobile Workshop,"offsite
Need rope and stanchion for crowd control",,,checked,,,,,,,
"America250: County Stories, National Spirit",7/14/2025 2:30pm,7/14/2025 3:30pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",,,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
New Board of Directors Organizational Meeting,7/14/2025 5:15pm,7/14/2025 6:00pm,"""107 AB, 100 Level (Pennsylvania Convention Center)""",Marc Chavez,Meeting,CL140 TH24 (164 total) -18'x8' stages (3) risers - stairs on each side of stage - (2) Head tables of (4ppl) - each placed to the left and right of a center podium - (1) tech table with (2) chairs. (2) 8' resource tables along back/side walls of room. (1) easel,Podium mic - (1) LCD package - (4) tabletop mics - (2) wireless mics on stands for Q&A - Audio Package,,checked,,,,,,,
Closing Reception and 90th Anniversary Celebration,7/14/2025 6:30pm,7/14/2025 9:30pm,Offsite,"Patrick Dougherty,Leah Rivera","Reception,Plenary / Conference-Wide Event",National Constitution Center,,,checked,,,,,,,
Clark Hospitality Suite,7/14/2025 9:00pm,7/14/2025 11:00pm,"""Loews - 33rd Floor, Loews""",,,,,,,,,,,,,
